speed_kmh,test_type,sign_id,pass_id,sign_type,lateral_offset_m,segment_type,tag_epc,detected,recognition_dist_m,false_positive,notes
10,quantitative,1,1,STOP,1.0,straight,E28011700000020A4B2C5678,True,12.0,False,
10,quantitative,1,2,STOP,1.0,straight,E28011700000020A4B2C5678,True,12.0,False,
10,quantitative,1,3,STOP,1.0,straight,E28011700000020A4B2C5678,True,12.0,False,
10,quantitative,1,4,STOP,1.0,straight,E28011700000020A4B2C5678,True,12.0,False,
10,quantitative,1,5,STOP,1.0,straight,E28011700000020A4B2C5678,True,12.0,False,
10,quantitative,2,1,STOP,1.5,straight,E28011700000020A4B2C5679,True,10.0,False,
10,quantitative,2,2,STOP,1.5,straight,E28011700000020A4B2C5679,True,10.0,False,
10,quantitative,2,3,STOP,1.5,straight,E28011700000020A4B2C5679,True,10.0,False,
10,quantitative,2,4,STOP,1.5,straight,E28011700000020A4B2C5679,True,10.0,False,
10,quantitative,2,5,STOP,1.5,straight,E28011700000020A4B2C5679,True,10.0,False,
10,quantitative,3,1,SPEED_20,2.0,straight,E28011700000020A4B2C567A,True,9.0,False,
10,quantitative,3,2,SPEED_20,2.0,straight,E28011700000020A4B2C567A,True,9.0,False,
10,quantitative,3,3,SPEED_20,2.0,straight,E28011700000020A4B2C567A,True,9.0,False,
10,quantitative,3,4,SPEED_20,2.0,straight,E28011700000020A4B2C567A,True,9.0,False,
10,quantitative,3,5,SPEED_20,2.0,straight,E28011700000020A4B2C567A,True,9.0,False,
10,quantitative,4,1,STOP,3.5,straight,E28011700000020A4B2C567B,True,4.0,False,
10,quantitative,4,2,STOP,3.5,straight,E28011700000020A4B2C567B,True,4.0,False,
10,quantitative,4,3,STOP,3.5,straight,E28011700000020A4B2C567B,True,4.0,False,
10,quantitative,4,4,STOP,3.5,straight,E28011700000020A4B2C567B,True,4.0,False,
10,quantitative,4,5,STOP,3.5,straight,E28011700000020A4B2C567B,True,4.0,False,
10,quantitative,5,1,STOP,1.5,straight,E28011700000020A4B2C567C,True,10.0,False,
10,quantitative,5,2,STOP,1.5,straight,E28011700000020A4B2C567C,True,10.0,False,
10,quantitative,5,3,STOP,1.5,straight,E28011700000020A4B2C567C,True,10.0,False,
10,quantitative,5,4,STOP,1.5,straight,E28011700000020A4B2C567C,True,10.0,False,
10,quantitative,5,5,STOP,1.5,straight,E28011700000020A4B2C567C,True,10.0,False,
10,quantitative,6,1,PEDESTRIAN,1.5,curved,E28011700000020A4B2C567D,True,3.0,False,
10,quantitative,6,2,PEDESTRIAN,1.5,curved,E28011700000020A4B2C567D,True,3.0,False,
10,quantitative,6,3,PEDESTRIAN,1.5,curved,E28011700000020A4B2C567D,True,3.0,False,
10,quantitative,6,4,PEDESTRIAN,1.5,curved,E28011700000020A4B2C567D,True,3.0,False,
10,quantitative,6,5,PEDESTRIAN,1.5,curved,E28011700000020A4B2C567D,True,3.0,False,
10,quantitative,7,1,SPEED_20,1.5,curved,E28011700000020A4B2C567E,True,5.0,False,
10,quantitative,7,2,SPEED_20,1.5,curved,E28011700000020A4B2C567E,True,5.0,False,
10,quantitative,7,3,SPEED_20,1.5,curved,E28011700000020A4B2C567E,True,5.0,False,
10,quantitative,7,4,SPEED_20,1.5,curved,E28011700000020A4B2C567E,True,5.0,False,
10,quantitative,7,5,SPEED_20,1.5,curved,E28011700000020A4B2C567E,True,5.0,False,
10,quantitative,8,1,SPEED_20,1.5,straight,E28011700000020A4B2C567F,True,10.0,False,
10,quantitative,8,2,SPEED_20,1.5,straight,E28011700000020A4B2C567F,True,10.0,False,
10,quantitative,8,3,SPEED_20,1.5,straight,E28011700000020A4B2C567F,True,10.0,False,
10,quantitative,8,4,SPEED_20,1.5,straight,E28011700000020A4B2C567F,True,10.0,False,
10,quantitative,8,5,SPEED_20,1.5,straight,E28011700000020A4B2C567F,True,10.0,False,
10,quantitative,9,1,SPEED_20,1.5,straight,E28011700000020A4B2C5680,True,10.0,False,
10,quantitative,9,2,SPEED_20,1.5,straight,E28011700000020A4B2C5680,True,10.0,False,
10,quantitative,9,3,SPEED_20,1.5,straight,E28011700000020A4B2C5680,True,10.0,False,
10,quantitative,9,4,SPEED_20,1.5,straight,E28011700000020A4B2C5680,True,10.0,False,
10,quantitative,9,5,SPEED_20,1.5,straight,E28011700000020A4B2C5680,True,10.0,False,
10,quantitative,10,1,SPEED_20,1.5,straight,E28011700000020A4B2C5681,True,10.0,False,
10,quantitative,10,2,SPEED_20,1.5,straight,E28011700000020A4B2C5681,True,10.0,False,
10,quantitative,10,3,SPEED_20,1.5,straight,E28011700000020A4B2C5681,True,10.0,False,
10,quantitative,10,4,SPEED_20,1.5,straight,E28011700000020A4B2C5681,True,10.0,False,
10,quantitative,10,5,SPEED_20,1.5,straight,E28011700000020A4B2C5681,True,10.0,False,
10,quantitative,11,1,SPEED_20,3.0,straight,E28011700000020A4B2C5682,True,5.0,False,
10,quantitative,11,2,SPEED_20,3.0,straight,E28011700000020A4B2C5682,True,5.0,False,
10,quantitative,11,3,SPEED_20,3.0,straight,E28011700000020A4B2C5682,True,5.0,False,
10,quantitative,11,4,SPEED_20,3.0,straight,E28011700000020A4B2C5682,True,5.0,False,
10,quantitative,11,5,SPEED_20,3.0,straight,E28011700000020A4B2C5682,True,5.0,False,
10,quantitative,12,1,STOP,1.5,straight,E28011700000020A4B2C5683,True,10.0,False,
10,quantitative,12,2,STOP,1.5,straight,E28011700000020A4B2C5683,True,10.0,False,
10,quantitative,12,3,STOP,1.5,straight,E28011700000020A4B2C5683,True,10.0,False,
10,quantitative,12,4,STOP,1.5,straight,E28011700000020A4B2C5683,True,10.0,False,
10,quantitative,12,5,STOP,1.5,straight,E28011700000020A4B2C5683,True,10.0,False,
